versao;item;estimulo;ImagemfileA;ImagefileB;;
1;"""1EDC""";"""COLEIRA_DE_CACHORRO EXTREMAMENTE_GIGANTE""";"""1FEU.png""";"""1FED.png""";;
1;"""2EDL""";"""GAROTA_DE_MOCHILA EXTREMAMENTE_PEQUENA""";"""2FED.png""";"""2FEU.png""";;
1;"""3EUL""";"""PRINCESA DE_COROA_VISIVELMENTE_PEQUENA""";"""3FEU.png""";"""3FED.png""";;
1;"""4EUC""";"""MENINO DE_ÓCULOS_GIGANTE""";"""4FED.png""";"""4FEU.png""";;
1;"""5EDC""";"""SAPATO_DE_LACINHO VEMELHO""";"""5FEU.png""";"""5FED.png""";;
1;"""6EDL""";"""CASACO_DE_BOLSINHO LARANJA""";"""6FED.png""";"""6FEU.png""";;
1;"""7EUL""";"""SANDÁLIA DE_LACINHO_VISIVELMENTE_DOURADO""";"""7FEU.png""";"""7FED.png""";;
1;"""8EUC""";"""VESTIDO DE_LACINHO_DOURADO""";"""8FED.png""";"""8FED.png""";;
2;"""1EDL""";"""COLEIRA_DE_CACHORRO EXTREMAMENTE_GIGANTE""";"""1FED.png""";"""1FEU.png""";;
2;"""2EUL""";"""GAROTA DE_MOCHILA_EXTREMAMENTE_PEQUENA""";"""2FEU.png""";"""2FED.png""";;
2;"""3EUC""";"""PRINCESA DE_COROA_PEQUENA""";"""3FED.png""";"""3FEU.png""";;
2;"""4EDC""";"""MENINO_DE_ÓCULOS GIGANTE""";"""4FEU.png""";"""4FED.png""";;
2;"""5EDL""";"""SAPATO_DE_LACINHO VISIVELMENTE_VEMELHO""";"""5FED.png""";"""5FEU.png""";;
2;"""6EUL""";"""CASACO DE_BOLSINHO_EXTREMAMENTE_LARANJA""";"""6FEU.png""";"""6FED.png""";;
2;"""7EUC""";"""SANDÁLIA DE_LACINHO_DOURADO""";"""7FED.png""";"""7FEU.png""";;
2;"""8EDC""";"""VESTIDO_DE_LACINHO DOURADO""";"""8FED.png""";"""8FED.png""";;
3;"""1EUL""";"""COLEIRA DE_CACHORRO_EXTREMAMENTE_GIGANTE""";"""1FEU.png""";"""1FED.png""";;
3;"""2EUC""";"""GAROTA DE_MOCHILA_PEQUENA""";"""2FED.png""";"""2FEU.png""";;
3;"""3EDC""";"""PRINCESA_DE_COROA PEQUENA""";"""3FEU.png""";"""3FED.png""";;
3;"""4EDL""";"""MENINO_DE_ÓCULOS VISIVELMENTE_GIGANTE""";"""4FED.png""";"""4FEU.png""";;
3;"""5EUL""";"""SAPATO DE_LACINHO_VISIVELMENTE_VEMELHO""";"""5FEU.png""";"""5FED.png""";;
3;"""6EUC""";"""CASACO DE_BOLSINHO_LARANJA""";"""6FED.png""";"""6FEU.png""";;
3;"""7EDC""";"""SANDÁLIA_DE_LACINHO DOURADO""";"""7FEU.png""";"""7FED.png""";;
3;"""8EDL""";"""VESTIDO_DE_LACINHO EXTREMAMENTE_DOURADO""";"""8FED.png""";"""8FED.png""";;
4;"""1EUC""";"""COLEIRA DE_CACHORRO_GIGANTE""";"""1FED.png""";"""1FEU.png""";;
4;"""2EDC""";"""GAROTA_DE_MOCHILA PEQUENA""";"""2FEU.png""";"""2FED.png""";;
4;"""3EDL""";"""PRINCESA_DE_COROA VISIVELMENTE_PEQUENA""";"""3FED.png""";"""3FEU.png""";;
4;"""2EUL""";"""MENINO DE_ÓCULOS_VISIVELMENTE_GIGANTE""";"""4FEU.png""";"""4FED.png""";;
4;"""5EUC""";"""SAPATO DE_LACINHO_VEMELHO""";"""5FED.png""";"""5FEU.png""";;
4;"""6EDC""";"""CASACO_DE_BOLSINHO LARANJA""";"""6FEU.png""";"""6FED.png""";;
4;"""7EDL""";"""SANDÁLIA_DE_LACINHO VISIVELMENTE_DOURADO""";"""7FED.png""";"""7FEU.png""";;
4;"""8EUL""";"""VESTIDO DE_LACINHO_EXTREMAMENTE_DOURADO""";"""8FED.png""";"""8FED.png""";;
