"group","item","estimulo","imagema","imagemb"
"A","1TUC","BOLA E_CADERNO_LARANJA","1FTU.png","1FTD.png"
"A","2TDL","BOLSA_E_CHAPÉU MUITO_AZUL","2FTU.png","2FTD.png"
"A","3TDC","RÁDIO_E_CARRO VERDE","3FTD.png","3FTU.png"
"A","4TUL","TELEVISÃO E_CELULAR_BEM_ROXO","4FTD.png","4FTU.png"
"B","1TUL","BOLA E_CADERNO_BEM_LARANJA","1FTD.png","1FTU.png"
"B","2TUC","BOLSA E_CHAPÉU_AZUL","2FTU.png","2FTD.png"
"B","3TDL","RÁDIO_E_CARRO MUITO_VERDE","3FTU.png","3FTD.png"
"B","4TUC","TELEVISÃO E_CELULAR_ROXO","4FTU.png","4FTD.png"
"C","1TDC","BOLA_E_CADERNO LARANJA","1FTU.png","1FTD.png"
"C","2TUL","BOLSA E_CHAPÉU_BEM_AZUL","2FTD.png","2FTU.png"
"C","3TUC","RÁDIO E_CARRO_VERDE","3FTD.png","3FTU.png"
"C","4TDC","TELEVISÃO_E_CELULAR ROXO","4FTD.png","4FTU.png"
"D","1TDL","BOLA_E_CADERNO BEM_LARANJA","1FTD.png","1FTU.png"
"D","2TDC","BOLSA_E_CHAPÉU AZUL","2FTD.png","2FTU.png"
"D","3TUL","RÁDIO E_CARRO_MUITO_VERDE","3FTU.png","3FTD.png"
"D","4TDL","TELEVISÃO_E_CELULAR MUITO_ROXO","4FTU.png","4FTD.png"
